composition,strain,time,¥åmin,¥åmax,Emix,,,,
Ti-40Zr-8Nb-2Sn,0.01999,41.1,0,0.168844221,0.166150224,,,,
Ti-40Zr-8Nb-2Sn,0.00075,80.5,0.00941858,0,,,,,
Ti-40Zr-8Nb-2Sn,0.02476,129.8,0,0.224623116,0.237773377,,,,
Ti-40Zr-8Nb-2Sn,0.00092,178.9,0.011552475,0,,,,,
Ti-40Zr-8Nb-2Sn,0.02975,238.7,0,0.285050251,0.305525314,,,,
Ti-40Zr-8Nb-2Sn,0.00108,297.6,0.013567839,0,,,,,
Ti-40Zr-8Nb-2Sn,0.03449,367.2,0,0.339824121,0.317139911,,,,
Ti-40Zr-8Nb-2Sn,0.00142,436.5,0.017839196,0,,,,,
Ti-40Zr-8Nb-2Sn,0.03935,515.3,0,0.396356784,0.379757723,,,,
Ti-40Zr-8Nb-2Sn,0.00159,593.8,0.019974874,0,,,,,
Ti-40Zr-8Nb-2Sn,0.04411,682.7,0,0.454145729,0.534649538,,,,
Ti-40Zr-8Nb-2Sn,0.00209,771.3,0.026256281,0,,,,,
Ti-40Zr-8Nb-2Sn,0.04901,869.9,0,0.496984925,0.485245787,,,,
Ti-40Zr-8Nb-2Sn,0.00275,967.2,0.034547739,0,,,,,
Ti-40Zr-8Nb-2Sn,0.05348,1075.1,0,0.546984925,0.514587977,,,,
Ti-40Zr-8Nb-2Sn,0.00374,1182,0.046984925,0,,,,,
Ti-40Zr-8Nb-2Sn,0.0585,1298.6,0,0.60741206,0.528525455,,,,
Ti-40Zr-8Nb-2Sn,0.0057,1411.2,0.07160804,0,,,,,
Ti-40Zr-8Nb-2Sn,0.06309,1535.4,0,0.636809045,0.630733758,,,,
Ti-40Zr-8Nb-2Sn,0.00963,1650.5,0.120979899,0,,,,,
Ti-40Zr-8Nb-2Sn,0.06789,1777.5,0,0.680778894,0.732361485,,,,
Ti-40Zr-8Nb-2Sn,0.01659,1889.8,0.208417085,0,,,,,
Ti-40Zr-8Nb-2Sn,0.0724,2013.1,0,0.72839196,0.730209432,,,,
Ti-40Zr-8Nb-2Sn,0.02448,2120.1,0.307537688,0,,,,,
Ti-45Zr-8Nb-2Sn,0.01997,39.7,0,0.147974684,-0.048921321,,,,
Ti-45Zr-8Nb-2Sn,0.00139,76.3,0.017594937,0,,,,,
Ti-45Zr-8Nb-2Sn,0.02469,122,0,0.211898734,-0.021170375,,,,
Ti-45Zr-8Nb-2Sn,0.00161,167.7,0.020379747,0,,,,,
Ti-45Zr-8Nb-2Sn,0.02974,222.4,0,0.268481013,0.033043938,,,,
Ti-45Zr-8Nb-2Sn,0.00215,276.7,0.02721519,0,,,,,
Ti-45Zr-8Nb-2Sn,0.03442,339.9,0,0.311898734,0.247747292,,,,
Ti-45Zr-8Nb-2Sn,0.00268,401.7,0.033924051,0,,,,,
Ti-45Zr-8Nb-2Sn,0.03937,473.2,0,0.365696203,0.287120313,,,,
Ti-45Zr-8Nb-2Sn,0.00343,543.2,0.043417722,0,,,,,
Ti-45Zr-8Nb-2Sn,0.04406,622.3,0,0.404936709,0.429934087,,,,
Ti-45Zr-8Nb-2Sn,0.00482,699.5,0.061012658,0,,,,,
Ti-45Zr-8Nb-2Sn,0.04879,785.5,0,0.477468354,0.56294945,,,,
Ti-45Zr-8Nb-2Sn,0.0066,868.5,0.083544304,0,,,,,
Ti-45Zr-8Nb-2Sn,0.05359,960.8,0,0.525443038,0.616846209,,,,
Ti-45Zr-8Nb-2Sn,0.00926,1048.3,0.11721519,0,,,,,
Ti-45Zr-8Nb-2Sn,0.05846,1145.5,0,0.576329114,0.625070113,,,,
Ti-45Zr-8Nb-2Sn,0.01333,1235,0.168734177,0,,,,,
Ti-45Zr-8Nb-2Sn,0.063,1334.3,0,0.627088608,0.69238012,,,,
Ti-45Zr-8Nb-2Sn,0.01878,1423.4,0.237721519,0,,,,,
Ti-45Zr-8Nb-2Sn,0.06782,1522.6,0,0.679240506,0.70213172,,,,
Ti-45Zr-8Nb-2Sn,0.02526,1609.8,0.319746835,0,,,,,
Ti-45Zr-8Nb-2Sn,0.0724,1705.7,0,0.733037975,0.710642387,,,,
Ti-45Zr-8Nb-2Sn,0.03239,1788.6,0.41,0,,,,,
Ti-50Zr-8Nb-2Sn,0.01993,43.7,0,0.141358025,0.102174525,,,,
Ti-50Zr-8Nb-2Sn,0.00115,84.7,0.014197531,0,,,,,
Ti-50Zr-8Nb-2Sn,0.02489,135.7,0,0.209012346,0.130021934,,,,
Ti-50Zr-8Nb-2Sn,0.00146,186.2,0.018024691,0,,,,,
Ti-50Zr-8Nb-2Sn,0.02971,245.5,0,0.261234568,0.185294772,,,,
Ti-50Zr-8Nb-2Sn,0.00192,304.2,0.023703704,0,,,,,
Ti-50Zr-8Nb-2Sn,0.03458,372.2,0,0.321728395,0.292218957,,,,
Ti-50Zr-8Nb-2Sn,0.00246,438.9,0.03037037,0,,,,,
Ti-50Zr-8Nb-2Sn,0.03936,514.8,0,0.372716049,0.350798985,,,,
Ti-50Zr-8Nb-2Sn,0.00329,589,0.040617284,0,,,,,
Ti-50Zr-8Nb-2Sn,0.04407,672.6,0,0.420864198,0.429733914,,,,
Ti-50Zr-8Nb-2Sn,0.00452,753.2,0.055802469,0,,,,,
Ti-50Zr-8Nb-2Sn,0.04895,843.6,0,0.463703704,0.477135633,,,,
Ti-50Zr-8Nb-2Sn,0.00651,929.5,0.08037037,0,,,,,
Ti-50Zr-8Nb-2Sn,0.05359,1024.9,0,0.524197531,0.444040276,,,,
Ti-50Zr-8Nb-2Sn,0.00918,1114.7,0.113333333,0,,,,,
Ti-50Zr-8Nb-2Sn,0.0585,1213.9,0,0.569753086,0.501440913,,,,
Ti-50Zr-8Nb-2Sn,0.01336,1304.7,0.164938272,0,,,,,
Ti-50Zr-8Nb-2Sn,0.06313,1404.5,0,0.608271605,0.547910599,,,,
Ti-50Zr-8Nb-2Sn,0.0188,1493.3,0.232098765,0,,,,,
Ti-50Zr-8Nb-2Sn,0.06791,1591.7,0,0.657777778,0.624207501,,,,
Ti-50Zr-8Nb-2Sn,0.02527,1676.7,0.311975309,0,,,,,
Ti-50Zr-8Nb-2Sn,0.07249,1771.1,0,0.714320988,0.667740249,,,,
Ti-50Zr-8Nb-2Sn,0.03254,1851.5,0.401728395,0,,,,,
